"14.153251	-0.003794"
"14.153129	-0.004353"
"14.153006	-0.004910"
"14.152884	-0.003647"
"14.152762	-0.002385"
"14.152639	-0.001126"
"14.152517	0.000137"
"14.152395	0.000603"
"14.152272	-0.000749"
"14.152150	-0.001933"
"14.152028	-0.003115"
"14.151906	-0.004296"
"14.151783	-0.005478"
"14.151661	-0.005582"
"14.151539	-0.003865"
"14.151416	-0.002660"
"14.151294	-0.002364"
"14.151172	-0.003126"
"14.151049	-0.003887"
"14.150927	-0.004704"
"14.150805	-0.005521"
"14.150682	-0.006378"
"14.150560	-0.007233"
"14.150438	-0.007406"
"14.150316	-0.005760"
"14.150193	-0.003169"
"14.150071	-0.002395"
"14.149949	-0.003515"
"14.149826	-0.004635"
"14.149704	-0.005530"
"14.149582	-0.006423"
"14.149459	-0.005497"
"14.149337	-0.004571"
"14.149215	-0.004232"
"14.149093	-0.003891"
"14.148970	-0.003553"
"14.148848	-0.003212"
"14.148726	-0.002305"
"14.148603	-0.001395"
"14.148481	-0.000489"
"14.148359	0.000421"
"14.148236	0.000049"
"14.148114	-0.000320"
"14.147992	-0.000692"
"14.147869	-0.001062"
"14.147747	-0.000979"
"14.147625	-0.000893"
"14.147503	-0.000754"
"14.147380	-0.000612"
"14.147258	-0.001017"
"14.147136	-0.000510"
"14.147013	0.000563"
"14.146891	-0.000181"
"14.146769	-0.001381"
"14.146646	-0.001670"
"14.146524	-0.000768"
"14.146402	0.000137"
"14.146279	0.000120"
"14.146157	0.000106"
"14.146035	0.000089"
"14.145913	0.000075"
"14.145790	-0.000851"
"14.145668	-0.001774"
"14.145546	-0.000882"
"14.145423	0.000014"
"14.145301	-0.000221"
"14.145179	-0.000453"
"14.145056	-0.000687"
"14.144934	-0.000919"
"14.144812	0.000665"
"14.144689	0.002251"
"14.144567	0.001941"
"14.144445	-0.000185"
"14.144323	-0.002267"
"14.144200	-0.002527"
"14.144078	-0.002108"
"14.143956	-0.001687"
"14.143833	-0.002366"
"14.143711	-0.003044"
"14.143589	-0.003723"
"14.143466	-0.004400"
"14.143344	-0.004822"
"14.143222	-0.005241"
"14.143100	-0.005663"
"14.142977	-0.006082"
"14.142855	-0.004419"
"14.142733	-0.002755"
"14.142610	-0.002911"
"14.142488	-0.003065"
"14.142366	-0.003288"
"14.142243	-0.003508"
"14.142121	-0.003730"
"14.141999	-0.003951"
"14.141876	-0.005045"
"14.141754	-0.006136"
"14.141632	-0.007230"
"14.141510	-0.008322"
"14.141387	-0.008339"
"14.141265	-0.008355"
"14.141143	-0.008372"
"14.141020	-0.008388"
"14.140898	-0.008121"
"14.140776	-0.007853"
"14.140653	-0.006392"
"14.140531	-0.004022"
"14.140409	-0.002276"
"14.140286	-0.002350"
"14.140164	-0.003673"
"14.140042	-0.004088"
"14.139920	-0.004445"
"14.139797	-0.004803"
"14.139675	-0.004990"
"14.139553	-0.005177"
"14.139430	-0.005940"
"14.139308	-0.004884"
"14.139186	-0.003771"
"14.139063	-0.004476"
"14.138941	-0.005201"
"14.138819	-0.005016"
"14.138697	-0.005457"
"14.138574	-0.005897"
"14.138452	-0.005504"
"14.138330	-0.005111"
"14.138207	-0.002899"
"14.138085	-0.000687"
"14.137963	-0.000863"
"14.137840	-0.001038"
"14.137718	-0.001213"
"14.137596	-0.001388"
"14.137473	-0.001689"
"14.137351	-0.001987"
"14.137229	-0.002288"
"14.137107	-0.002587"
"14.136984	-0.002130"
"14.136862	-0.001670"
"14.136740	-0.001213"
"14.136617	-0.000754"
"14.136495	-0.001301"
"14.136373	-0.001845"
"14.136250	-0.002392"
"14.136128	-0.002937"
"14.136006	-0.003636"
"14.135883	-0.004332"
"14.135761	-0.004348"
"14.135639	-0.002544"
"14.135517	-0.002416"
"14.135394	-0.004104"
"14.135272	-0.005679"
"14.135150	-0.005435"
"14.135027	-0.004133"
"14.134905	-0.002828"
"14.134783	-0.003228"
"14.134660	-0.003629"
"14.134538	-0.003908"
"14.134416	-0.004185"
"14.134293	-0.004462"
"14.134171	-0.004739"
"14.134049	-0.004564"
"14.133927	-0.004386"
"14.133804	-0.004209"
"14.133682	-0.004031"
"14.133560	-0.004194"
"14.133437	-0.004355"
"14.133315	-0.002700"
"14.133193	-0.001043"
"14.133070	-0.001471"
"14.132948	-0.001897"
"14.132826	-0.002326"
"14.132704	-0.002752"
"14.132581	-0.002281"
"14.132459	-0.001807"
"14.132337	-0.000313"
"14.132214	-0.000635"
"14.132092	-0.002589"
"14.131970	-0.004540"
"14.131847	-0.003576"
"14.131725	-0.002610"
"14.131603	-0.003349"
"14.131480	-0.004088"
"14.131358	-0.004145"
"14.131236	-0.002381"
"14.131114	-0.001452"
"14.130991	-0.002343"
"14.130869	-0.002096"
"14.130747	-0.001848"
"14.130624	-0.001440"
"14.130502	-0.001033"
"14.130380	-0.000626"
"14.130257	-0.000216"
"14.130135	-0.001779"
"14.130013	-0.003342"
"14.129890	-0.003086"
"14.129768	-0.002828"
"14.129646	-0.004190"
"14.129524	-0.005551"
"14.129401	-0.005094"
"14.129279	-0.004635"
"14.129157	-0.004026"
"14.129034	-0.003418"
"14.128912	-0.002809"
"14.128790	-0.002198"
"14.128667	-0.001969"
"14.128545	-0.001739"
"14.128423	-0.001509"
"14.128300	-0.001277"
"14.128178	-0.001995"
"14.128056	-0.002712"
"14.127934	-0.003430"
"14.127811	-0.004145"
"14.127689	-0.004081"
"14.127567	-0.004017"
"14.127444	-0.002248"
"14.127322	-0.000477"
"14.127200	-0.000261"
"14.127077	-0.001864"
"14.126955	-0.003467"
"14.126833	-0.003250"
"14.126711	-0.003053"
"14.126588	-0.002857"
"14.126466	-0.002546"
"14.126344	-0.002234"
"14.126221	-0.000901"
