"14.153251	-0.001401"
"14.153129	-0.000899"
"14.153006	-0.000597"
"14.152884	-0.001568"
"14.152762	-0.002113"
"14.152639	-0.001074"
"14.152517	-0.000578"
"14.152395	-0.001249"
"14.152272	-0.001306"
"14.152150	-0.001146"
"14.152028	-0.002139"
"14.151906	-0.003428"
"14.151783	-0.003796"
"14.151661	-0.002995"
"14.151539	-0.001206"
"14.151416	0.000280"
"14.151294	0.000182"
"14.151172	-0.000788"
"14.151049	-0.001575"
"14.150927	-0.002210"
"14.150805	-0.002498"
"14.150682	-0.002056"
"14.150560	-0.001214"
"14.150438	-0.000503"
"14.150316	-0.000354"
"14.150193	-0.000867"
"14.150071	-0.001716"
"14.149949	-0.002924"
"14.149826	-0.004278"
"14.149704	-0.004452"
"14.149582	-0.003452"
"14.149459	-0.003250"
"14.149337	-0.003882"
"14.149215	-0.003427"
"14.149093	-0.002367"
"14.148970	-0.002519"
"14.148848	-0.003103"
"14.148726	-0.002637"
"14.148603	-0.001930"
"14.148481	-0.001737"
"14.148359	-0.001172"
"14.148236	-0.000353"
"14.148114	-0.000468"
"14.147992	-0.000897"
"14.147869	-0.000709"
"14.147747	-0.001112"
"14.147625	-0.002377"
"14.147503	-0.002591"
"14.147380	-0.002230"
"14.147258	-0.003567"
"14.147136	-0.005701"
"14.147013	-0.006684"
"14.146891	-0.007137"
"14.146769	-0.007296"
"14.146646	-0.006290"
"14.146524	-0.004952"
"14.146402	-0.004227"
"14.146279	-0.003400"
"14.146157	-0.002234"
"14.146035	-0.001115"
"14.145913	-0.000296"
"14.145790	-0.000664"
"14.145668	-0.002047"
"14.145546	-0.002647"
"14.145423	-0.002435"
"14.145301	-0.002579"
"14.145179	-0.002530"
"14.145056	-0.002105"
"14.144934	-0.002383"
"14.144812	-0.002918"
"14.144689	-0.002754"
"14.144567	-0.002254"
"14.144445	-0.001395"
"14.144323	-0.000291"
"14.144200	-0.000355"
"14.144078	-0.001503"
"14.143956	-0.001990"
"14.143833	-0.001786"
"14.143711	-0.002108"
"14.143589	-0.002867"
"14.143466	-0.003194"
"14.143344	-0.002861"
"14.143222	-0.002611"
"14.143100	-0.003075"
"14.142977	-0.003438"
"14.142855	-0.002995"
"14.142733	-0.002682"
"14.142610	-0.002470"
"14.142488	-0.000962"
"14.142366	0.000820"
