"14.159651	-0.000047"
"14.159529	-0.000006"
"14.159406	-0.000144"
"14.159284	-0.000614"
"14.159162	-0.001319"
"14.159039	-0.002196"
"14.158917	-0.002479"
"14.158795	-0.001960"
"14.158672	-0.001572"
"14.158550	-0.001765"
"14.158428	-0.001980"
"14.158306	-0.001684"
"14.158183	-0.000963"
"14.158061	-0.000342"
"14.157939	-0.000068"
"14.157816	0.000250"
"14.157694	0.000845"
"14.157572	0.001373"
"14.157449	0.001439"
"14.157327	0.000833"
"14.157205	-0.000359"
"14.157082	-0.001386"
"14.156960	-0.001385"
"14.156838	-0.000579"
"14.156716	-0.000147"
"14.156593	-0.000808"
"14.156471	-0.002147"
"14.156349	-0.003288"
"14.156226	-0.003459"
"14.156104	-0.002291"
"14.155982	-0.000337"
"14.155859	0.001388"
"14.155737	0.002359"
"14.155615	0.002244"
"14.155492	0.001011"
"14.155370	-0.000210"
"14.155248	-0.000595"
"14.155126	-0.001226"
"14.155003	-0.002773"
"14.154881	-0.003913"
"14.154759	-0.003905"
"14.154636	-0.003601"
"14.154514	-0.003382"
"14.154392	-0.003002"
"14.154269	-0.002650"
"14.154147	-0.002424"
"14.154025	-0.002006"
"14.153902	-0.001329"
"14.153780	-0.000945"
"14.153658	-0.001654"
"14.153536	-0.003240"
"14.153413	-0.004039"
"14.153291	-0.003028"
"14.153169	-0.001292"
"14.153046	-0.000369"
"14.152924	-0.000412"
"14.152802	-0.000303"
"14.152679	0.000629"
"14.152557	0.001059"
"14.152435	-0.000331"
"14.152313	-0.001741"
"14.152190	-0.001145"
"14.152068	-0.000360"
"14.151946	-0.001357"
"14.151823	-0.002432"
"14.151701	-0.001908"
"14.151579	-0.000638"
"14.151456	0.000564"
"14.151334	0.001245"
"14.151212	0.000647"
"14.151089	-0.000453"
"14.150967	-0.000695"
"14.150845	-0.000611"
"14.150723	-0.000691"
"14.150600	-0.000068"
"14.150478	0.000941"
"14.150356	0.001063"
"14.150233	0.000346"
"14.150111	-0.000684"
"14.149989	-0.001837"
"14.149866	-0.002536"
"14.149744	-0.002741"
"14.149622	-0.003101"
"14.149499	-0.003517"
"14.149377	-0.003900"
"14.149255	-0.004703"
"14.149133	-0.005251"
"14.149010	-0.004555"
"14.148888	-0.003192"
"14.148766	-0.001735"
"14.148643	0.000040"
"14.148521	0.001528"
"14.148399	0.002002"
"14.148276	0.001773"
"14.148154	0.000914"
"14.148032	-0.000779"
"14.147910	-0.002347"
"14.147787	-0.002568"
"14.147665	-0.001759"
"14.147543	-0.001349"
"14.147420	-0.002059"
"14.147298	-0.003240"
"14.147176	-0.004123"
"14.147053	-0.004337"
"14.146931	-0.003092"
"14.146809	-0.000476"
"14.146686	0.001426"
"14.146564	0.001543"
"14.146442	0.001049"
"14.146320	0.000338"
"14.146197	-0.000921"
"14.146075	-0.001885"
"14.145953	-0.002187"
"14.145830	-0.002134"
"14.145708	-0.001034"
"14.145586	0.000723"
"14.145463	0.001321"
"14.145341	0.001519"
"14.145219	0.003356"
"14.145096	0.005365"
"14.144974	0.004870"
"14.144852	0.002581"
"14.144730	0.000979"
"14.144607	0.000683"
"14.144485	0.000481"
"14.144363	-0.000149"
"14.144240	-0.000277"
"14.144118	0.000369"
"14.143996	0.000940"
"14.143873	0.001505"
"14.143751	0.002114"
"14.143629	0.001320"
"14.143506	-0.000914"
"14.143384	-0.002493"
"14.143262	-0.002810"
"14.143140	-0.002757"
"14.143017	-0.002356"
"14.142895	-0.001840"
"14.142773	-0.002020"
"14.142650	-0.002489"
"14.142528	-0.002305"
"14.142406	-0.001478"
"14.142283	-0.000392"
"14.142161	0.000732"
"14.142039	0.001792"
"14.141917	0.002644"
"14.141794	0.002700"
"14.141672	0.001753"
"14.141550	0.000691"
"14.141427	0.000087"
"14.141305	-0.000076"
"14.141183	0.000820"
"14.141060	0.002666"
"14.140938	0.003554"
"14.140816	0.002765"
"14.140693	0.001887"
"14.140571	0.001563"
"14.140449	0.000822"
"14.140327	0.000125"
"14.140204	0.000803"
"14.140082	0.001592"
"14.139960	0.000229"
"14.139837	-0.002030"
"14.139715	-0.002227"
"14.139593	-0.000474"
"14.139470	0.001441"
"14.139348	0.003176"
"14.139226	0.004519"
"14.139103	0.004738"
"14.138981	0.003891"
"14.138859	0.002159"
"14.138737	-0.000024"
"14.138614	-0.001077"
"14.138492	-0.000649"
"14.138370	-0.000167"
"14.138247	0.000316"
"14.138125	0.001194"
"14.138003	0.001173"
"14.137880	0.000263"
"14.137758	0.000264"
"14.137636	0.000732"
"14.137513	0.000025"
"14.137391	-0.001177"
"14.137269	-0.001736"
"14.137147	-0.002046"
"14.137024	-0.002550"
"14.136902	-0.002878"
"14.136780	-0.002525"
"14.136657	-0.001703"
"14.136535	-0.001301"
