"14.160351	0.001549"
"14.160229	0.001406"
"14.160106	0.001698"
"14.159984	0.001148"
"14.159862	0.001058"
"14.159739	0.001972"
"14.159617	0.002504"
"14.159495	0.002446"
"14.159372	0.002278"
"14.159250	0.002360"
"14.159128	0.003338"
"14.159006	0.003805"
"14.158883	0.001606"
"14.158761	-0.001422"
"14.158639	-0.002352"
"14.158516	-0.001924"
"14.158394	-0.001526"
"14.158272	-0.001063"
"14.158149	-0.000998"
"14.158027	-0.001372"
"14.157905	-0.001258"
"14.157782	-0.000995"
"14.157660	-0.001066"
"14.157538	-0.000627"
"14.157416	0.000413"
"14.157293	0.001225"
"14.157171	0.001506"
"14.157049	0.001133"
"14.156926	0.000514"
"14.156804	0.000475"
"14.156682	0.000560"
"14.156559	0.000042"
"14.156437	-0.000432"
"14.156315	-0.000488"
"14.156192	-0.000492"
"14.156070	-0.000254"
"14.155948	0.000293"
"14.155826	0.001039"
"14.155703	0.002300"
"14.155581	0.003405"
"14.155459	0.003332"
"14.155336	0.002988"
"14.155214	0.003424"
"14.155092	0.003864"
"14.154969	0.003726"
"14.154847	0.003200"
"14.154725	0.002330"
"14.154602	0.001753"
"14.154480	0.001990"
"14.154358	0.002071"
"14.154236	0.001038"
"14.154113	-0.000580"
"14.153991	-0.001405"
"14.153869	-0.000242"
"14.153746	0.002204"
"14.153624	0.003347"
"14.153502	0.002512"
"14.153379	0.002027"
"14.153257	0.002971"
"14.153135	0.003496"
"14.153013	0.002265"
"14.152890	0.000509"
"14.152768	-0.000065"
"14.152646	0.000441"
"14.152523	0.001078"
"14.152401	0.001918"
"14.152279	0.003210"
"14.152156	0.004299"
"14.152034	0.004826"
"14.151912	0.004996"
"14.151789	0.004827"
"14.151667	0.004815"
"14.151545	0.005421"
"14.151423	0.005544"
"14.151300	0.004252"
"14.151178	0.002719"
"14.151056	0.002087"
"14.150933	0.001743"
"14.150811	0.001097"
"14.150689	0.000525"
"14.150566	0.000205"
"14.150444	-0.000167"
"14.150322	-0.000414"
"14.150199	0.000069"
"14.150077	0.001167"
"14.149955	0.002115"
"14.149833	0.002618"
"14.149710	0.002742"
"14.149588	0.002687"
"14.149466	0.003169"
"14.149343	0.004180"
"14.149221	0.004366"
"14.149099	0.003388"
"14.148976	0.002367"
"14.148854	0.001869"
"14.148732	0.002261"
"14.148609	0.003798"
"14.148487	0.004865"
"14.148365	0.004024"
"14.148243	0.002666"
"14.148120	0.002210"
"14.147998	0.002337"
"14.147876	0.002952"
"14.147753	0.003693"
"14.147631	0.003471"
"14.147509	0.002855"
"14.147386	0.002895"
"14.147264	0.002454"
"14.147142	0.000761"
"14.147020	-0.000670"
"14.146897	-0.000890"
"14.146775	-0.000462"
"14.146653	0.000159"
"14.146530	0.000431"
"14.146408	-0.000106"
"14.146286	-0.000569"
"14.146163	0.000079"
"14.146041	0.001417"
"14.145919	0.002570"
"14.145796	0.003144"
"14.145674	0.002776"
"14.145552	0.001522"
"14.145430	0.000425"
"14.145307	0.000442"
"14.145185	0.001657"
"14.145063	0.003468"
"14.144940	0.004470"
"14.144818	0.003480"
"14.144696	0.001844"
"14.144573	0.001978"
"14.144451	0.003191"
"14.144329	0.002865"
"14.144206	0.001130"
"14.144084	-0.000128"
"14.143962	-0.000844"
"14.143840	-0.001656"
"14.143717	-0.001868"
"14.143595	-0.001078"
"14.143473	-0.000245"
"14.143350	-0.000005"
"14.143228	0.000152"
"14.143106	0.000740"
"14.142983	0.001589"
"14.142861	0.002301"
"14.142739	0.002593"
"14.142617	0.002571"
"14.142494	0.002891"
"14.142372	0.003558"
"14.142250	0.003379"
"14.142127	0.002195"
"14.142005	0.001496"
"14.141883	0.001364"
"14.141760	0.000581"
"14.141638	-0.000191"
"14.141516	0.000191"
"14.141393	0.000522"
"14.141271	-0.000477"
"14.141149	-0.002083"
"14.141027	-0.003261"
"14.140904	-0.003677"
"14.140782	-0.003588"
"14.140660	-0.003698"
"14.140537	-0.003715"
"14.140415	-0.002648"
"14.140293	-0.001104"
"14.140170	-0.000352"
"14.140048	-0.000106"
"14.139926	0.000047"
"14.139803	-0.000265"
"14.139681	-0.000445"
"14.139559	0.000372"
"14.139437	0.001224"
"14.139314	0.001022"
"14.139192	0.000713"
"14.139070	0.001245"
"14.138947	0.001376"
"14.138825	0.000183"
"14.138703	-0.000665"
"14.138580	0.000057"
"14.138458	0.000855"
"14.138336	0.000735"
"14.138213	0.000867"
"14.138091	0.001756"
"14.137969	0.002401"
"14.137847	0.001813"
"14.137724	-0.000057"
"14.137602	-0.001583"
"14.137480	-0.001264"
"14.137357	-0.000703"
"14.137235	-0.001549"
"14.137113	-0.001729"
"14.136990	-0.000061"
"14.136868	0.000800"
"14.136746	-0.000162"
"14.136624	-0.000920"
"14.136501	-0.001159"
"14.136379	-0.001883"
"14.136257	-0.002559"
"14.136134	-0.002523"
"14.136012	-0.001782"
"14.135890	-0.000089"
"14.135767	0.001896"
"14.135645	0.002693"
"14.135523	0.002414"
"14.135400	0.002309"
"14.135278	0.002424"
"14.135156	0.002214"
"14.135034	0.001801"
"14.134911	0.001140"
"14.134789	0.000036"
"14.134667	-0.000655"
"14.134544	-0.000283"
"14.134422	0.000019"
"14.134300	-0.000604"
"14.134177	-0.001110"
"14.134055	-0.000780"
"14.133933	-0.000387"
"14.133810	-0.000600"
"14.133688	-0.001582"
"14.133566	-0.003020"
"14.133444	-0.003497"
"14.133321	-0.002354"
"14.133199	-0.001255"
"14.133077	-0.001449"
"14.132954	-0.001859"
"14.132832	-0.001084"
"14.132710	0.000795"
"14.132587	0.002054"
"14.132465	0.001260"
"14.132343	-0.000003"
"14.132221	0.000558"
"14.132098	0.001484"
"14.131976	0.000466"
"14.131854	-0.001087"
"14.131731	-0.001332"
"14.131609	-0.001176"
"14.131487	-0.001451"
"14.131364	-0.001746"
"14.131242	-0.001938"
"14.131120	-0.001783"
"14.130997	-0.001016"
"14.130875	-0.000420"
"14.130753	-0.000528"
"14.130631	-0.000723"
"14.130508	-0.000223"
"14.130386	0.001415"
"14.130264	0.003541"
"14.130141	0.004525"
"14.130019	0.004425"
"14.129897	0.004732"
"14.129774	0.004751"
"14.129652	0.003042"
"14.129530	0.001236"
"14.129407	0.001208"
"14.129285	0.001917"
"14.129163	0.002230"
"14.129041	0.002216"
"14.128918	0.001492"
"14.128796	0.000472"
"14.128674	0.000597"
"14.128551	0.001371"
"14.128429	0.001477"
"14.128307	0.001599"
"14.128184	0.002309"
"14.128062	0.002614"
"14.127940	0.002392"
"14.127817	0.001947"
"14.127695	0.000590"
"14.127573	-0.000784"
"14.127451	0.000047"
"14.127328	0.002475"
"14.127206	0.004140"
"14.127084	0.004755"
"14.126961	0.004905"
"14.126839	0.004285"
"14.126717	0.002842"
"14.126594	0.000947"
"14.126472	-0.000807"
"14.126350	-0.001411"
"14.126228	-0.001243"
"14.126105	-0.001950"
"14.125983	-0.002760"
"14.125861	-0.001591"
"14.125738	0.000294"
"14.125616	0.000432"
"14.125494	-0.000496"
"14.125371	-0.001181"
"14.125249	-0.001910"
"14.125127	-0.001964"
"14.125004	-0.000489"
"14.124882	0.000563"
"14.124760	-0.000373"
"14.124638	-0.001254"
"14.124515	-0.000343"
"14.124393	0.001006"
"14.124271	0.001468"
"14.124148	0.001153"
"14.124026	0.000099"
"14.123904	-0.001149"
"14.123781	-0.001149"
"14.123659	0.000256"
"14.123537	0.001567"
"14.123414	0.001964"
"14.123292	0.001911"
"14.123170	0.001906"
"14.123048	0.001984"
"14.122925	0.001877"
"14.122803	0.001229"
"14.122681	0.000530"
"14.122558	0.001116"
"14.122436	0.002931"
"14.122314	0.003869"
"14.122191	0.002962"
"14.122069	0.001748"
"14.121947	0.001223"
"14.121824	0.000707"
"14.121702	0.000057"
"14.121580	-0.000406"
"14.121458	-0.000821"
"14.121335	-0.000454"
"14.121213	0.001330"
"14.121091	0.002822"
"14.120968	0.002541"
"14.120846	0.001558"
"14.120724	0.000681"
"14.120601	-0.000491"
"14.120479	-0.001329"
"14.120357	-0.001010"
"14.120235	-0.000299"
"14.120112	-0.000119"
"14.119990	-0.000422"
"14.119868	-0.000706"
"14.119745	-0.000373"
"14.119623	0.000377"
"14.119501	0.000490"
"14.119378	-0.000261"
"14.119256	-0.000854"
"14.119134	-0.000569"
"14.119011	0.000251"
"14.118889	0.000929"
"14.118767	0.001502"
"14.118645	0.002229"
"14.118522	0.002381"
"14.118400	0.001631"
"14.118278	0.001274"
"14.118155	0.001709"
"14.118033	0.001641"
"14.117911	0.000857"
"14.117788	0.000102"
"14.117666	-0.000463"
"14.117544	-0.000227"
"14.117421	0.000827"
"14.117299	0.000767"
"14.117177	-0.000743"
"14.117055	-0.001529"
"14.116932	-0.001463"
"14.116810	-0.002193"
"14.116688	-0.003162"
"14.116565	-0.003104"
"14.116443	-0.002686"
"14.116321	-0.002642"
"14.116198	-0.002267"
"14.116076	-0.001126"
"14.115954	-0.000271"
"14.115832	-0.000445"
"14.115709	-0.000271"
"14.115587	0.001339"
"14.115465	0.002522"
"14.115342	0.001588"
"14.115220	-0.000087"
"14.115098	-0.000841"
"14.114975	-0.000746"
"14.114853	-0.000390"
"14.114731	-0.000452"
"14.114608	-0.000950"
"14.114486	-0.000623"
"14.114364	0.000820"
"14.114242	0.002069"
"14.114119	0.002458"
"14.113997	0.002305"
"14.113875	0.002349"
"14.113752	0.003408"
"14.113630	0.004678"
"14.113508	0.004772"
"14.113385	0.004188"
"14.113263	0.003437"
"14.113141	0.002006"
"14.113018	0.001106"
"14.112896	0.001710"
"14.112774	0.001879"
"14.112652	0.000853"
"14.112529	0.000420"
"14.112407	0.000383"
"14.112285	-0.000578"
"14.112162	-0.001457"
"14.112040	-0.001136"
"14.111918	-0.000251"
"14.111795	0.000508"
"14.111673	0.001043"
"14.111551	0.001628"
"14.111428	0.002342"
"14.111306	0.002240"
"14.111184	0.001038"
"14.111062	0.000022"
"14.110939	-0.000562"
"14.110817	-0.001338"
"14.110695	-0.001410"
"14.110572	-0.000277"
"14.110450	0.000616"
"14.110328	0.000724"
"14.110205	0.000863"
"14.110083	0.001032"
"14.109961	0.000915"
"14.109839	0.000644"
"14.109716	0.000169"
"14.109594	-0.000253"
"14.109472	0.000029"
"14.109349	0.000717"
"14.109227	0.000818"
"14.109105	0.000056"
"14.108982	-0.000857"
"14.108860	-0.000944"
"14.108738	-0.000058"
"14.108615	0.000960"
"14.108493	0.001664"
"14.108371	0.002306"
"14.108249	0.002402"
"14.108126	0.001108"
"14.108004	-0.000615"
"14.107882	-0.000692"
"14.107759	0.000674"
"14.107637	0.001006"
"14.107515	-0.000447"
"14.107392	-0.001985"
"14.107270	-0.002858"
"14.107148	-0.003533"
"14.107025	-0.003497"
"14.106903	-0.002434"
"14.106781	-0.001500"
"14.106659	-0.001213"
"14.106536	-0.000910"
"14.106414	-0.000625"
"14.106292	-0.000797"
"14.106169	-0.001125"
"14.106047	-0.001029"
"14.105925	-0.000347"
"14.105802	0.000559"
"14.105680	0.001574"
"14.105558	0.003174"
"14.105435	0.004918"
"14.105313	0.005719"
"14.105191	0.006005"
"14.105069	0.006269"
"14.104946	0.005475"
"14.104824	0.004125"
"14.104702	0.003991"
"14.104579	0.004132"
"14.104457	0.003314"
"14.104335	0.003002"
"14.104212	0.003356"
"14.104090	0.002836"
"14.103968	0.002316"
"14.103846	0.003018"
"14.103723	0.003800"
"14.103601	0.003814"
"14.103479	0.002808"
"14.103356	0.000377"
"14.103234	-0.001777"
"14.103112	-0.001571"
"14.102989	-0.000131"
"14.102867	0.000834"
"14.102745	0.001252"
"14.102622	0.001149"
"14.102500	0.000942"
"14.102378	0.001093"
"14.102256	0.000574"
"14.102133	-0.000580"
"14.102011	-0.000736"
"14.101889	-0.000250"
"14.101766	-0.000099"
"14.101644	0.000245"
"14.101522	-0.000073"
"14.101399	-0.001840"
"14.101277	-0.002625"
"14.101155	-0.001357"
"14.101032	-0.000139"
"14.100910	0.001013"
"14.100788	0.002896"
"14.100666	0.003414"
"14.100543	0.002060"
"14.100421	0.001714"
"14.100299	0.003017"
"14.100176	0.003818"
"14.100054	0.003350"
"14.099932	0.002435"
"14.099809	0.001551"
"14.099687	0.000921"
"14.099565	0.001027"
"14.099443	0.001629"
"14.099320	0.000928"
"14.099198	-0.001576"
"14.099076	-0.002944"
"14.098953	-0.001596"
"14.098831	-0.000086"
"14.098709	0.000516"
"14.098586	0.001736"
"14.098464	0.002764"
"14.098342	0.002412"
"14.098219	0.002413"
"14.098097	0.003144"
"14.097975	0.002630"
"14.097853	0.001286"
"14.097730	0.001109"
"14.097608	0.001958"
"14.097486	0.002347"
"14.097363	0.001374"
"14.097241	-0.000470"
"14.097119	-0.001456"
"14.096996	-0.000801"
"14.096874	0.000704"
"14.096752	0.002269"
"14.096629	0.003076"
"14.096507	0.002569"
"14.096385	0.001859"
"14.096263	0.002150"
"14.096140	0.002798"
"14.096018	0.002810"
"14.095896	0.002192"
"14.095773	0.001655"
"14.095651	0.001824"
"14.095529	0.002036"
"14.095406	0.001438"
"14.095284	0.000811"
"14.095162	0.000576"
"14.095039	-0.000012"
"14.094917	-0.000528"
"14.094795	-0.000580"
"14.094673	-0.001212"
"14.094550	-0.001959"
"14.094428	-0.001588"
"14.094306	-0.000950"
"14.094183	-0.000423"
"14.094061	0.000690"
"14.093939	0.001221"
"14.093816	0.000614"
"14.093694	0.000606"
"14.093572	0.001186"
"14.093450	0.001503"
"14.093327	0.002533"
"14.093205	0.003556"
"14.093083	0.002902"
"14.092960	0.002488"
"14.092838	0.003396"
"14.092716	0.002596"
"14.092593	-0.000200"
"14.092471	-0.001338"
"14.092349	-0.000062"
"14.092226	0.001473"
"14.092104	0.002560"
"14.091982	0.003436"
"14.091860	0.003822"
"14.091737	0.003491"
"14.091615	0.002658"
"14.091493	0.001962"
"14.091370	0.001735"
"14.091248	0.001535"
"14.091126	0.001177"
"14.091003	0.000705"
"14.090881	-0.000176"
"14.090759	-0.000938"
"14.090636	-0.000850"
"14.090514	-0.000854"
"14.090392	-0.001373"
"14.090270	-0.001048"
"14.090147	-0.000171"
"14.090025	-0.000567"
"14.089903	-0.001595"
"14.089780	-0.001389"
"14.089658	-0.000610"
"14.089536	-0.000828"
"14.089413	-0.001413"
"14.089291	-0.000867"
"14.089169	0.000412"
"14.089047	0.001180"
"14.088924	0.002119"
"14.088802	0.004339"
"14.088680	0.006024"
"14.088557	0.004962"
"14.088435	0.002602"
"14.088313	0.001251"
"14.088190	0.000812"
"14.088068	0.000745"
"14.087946	0.000762"
"14.087823	0.000124"
"14.087701	-0.000471"
"14.087579	0.000260"
"14.087457	0.001196"
"14.087334	0.001455"
"14.087212	0.002263"
"14.087090	0.003041"
"14.086967	0.002155"
"14.086845	0.001162"
"14.086723	0.001759"
