"14.153951	-0.001761"
"14.153829	-0.001940"
"14.153706	-0.002215"
"14.153584	-0.001983"
"14.153462	-0.001203"
"14.153339	-0.000957"
"14.153217	-0.001873"
"14.153095	-0.003024"
"14.152972	-0.003887"
"14.152850	-0.004734"
"14.152728	-0.004958"
"14.152606	-0.004277"
"14.152483	-0.003963"
"14.152361	-0.004601"
"14.152239	-0.005261"
"14.152116	-0.005450"
"14.151994	-0.005590"
"14.151872	-0.005827"
"14.151749	-0.005648"
"14.151627	-0.004717"
"14.151505	-0.003849"
"14.151382	-0.003997"
"14.151260	-0.004602"
"14.151138	-0.004759"
"14.151016	-0.004710"
"14.150893	-0.004837"
"14.150771	-0.005185"
"14.150649	-0.006058"
"14.150526	-0.007235"
"14.150404	-0.007853"
"14.150282	-0.007357"
"14.150159	-0.005377"
"14.150037	-0.002619"
"14.149915	-0.001622"
"14.149793	-0.003138"
"14.149670	-0.004480"
"14.149548	-0.004156"
"14.149426	-0.003420"
"14.149303	-0.002938"
"14.149181	-0.002848"
"14.149059	-0.003598"
"14.148936	-0.004073"
"14.148814	-0.003241"
"14.148692	-0.002719"
"14.148569	-0.003252"
"14.148447	-0.002963"
"14.148325	-0.001796"
"14.148203	-0.002033"
"14.148080	-0.004041"
"14.147958	-0.006006"
"14.147836	-0.006532"
"14.147713	-0.005714"
"14.147591	-0.004828"
"14.147469	-0.004624"
"14.147346	-0.004618"
"14.147224	-0.004921"
"14.147102	-0.005928"
"14.146979	-0.006409"
"14.146857	-0.005522"
"14.146735	-0.004395"
"14.146613	-0.003589"
"14.146490	-0.003029"
"14.146368	-0.003721"
"14.146246	-0.005302"
"14.146123	-0.005722"
"14.146001	-0.005373"
"14.145879	-0.005825"
"14.145756	-0.005923"
"14.145634	-0.004584"
"14.145512	-0.003267"
"14.145389	-0.002446"
"14.145267	-0.001409"
"14.145145	-0.001150"
"14.145023	-0.001928"
"14.144900	-0.001604"
"14.144778	-0.000465"
"14.144656	-0.001482"
"14.144533	-0.004145"
"14.144411	-0.004913"
"14.144289	-0.003373"
"14.144166	-0.001914"
"14.144044	-0.001376"
"14.143922	-0.001448"
"14.143800	-0.002343"
"14.143677	-0.003373"
"14.143555	-0.002942"
"14.143433	-0.001236"
"14.143310	-0.000437"
"14.143188	-0.001535"
"14.143066	-0.002827"
"14.142943	-0.002748"
"14.142821	-0.002335"
"14.142699	-0.002777"
"14.142576	-0.002799"
"14.142454	-0.001448"
"14.142332	-0.000310"
"14.142210	-0.000612"
"14.142087	-0.001893"
"14.141965	-0.003881"
"14.141843	-0.005891"
"14.141720	-0.006358"
"14.141598	-0.005557"
"14.141476	-0.005142"
"14.141353	-0.004926"
"14.141231	-0.004120"
"14.141109	-0.003414"
"14.140986	-0.003075"
"14.140864	-0.002415"
"14.140742	-0.001827"
"14.140620	-0.002076"
"14.140497	-0.002560"
"14.140375	-0.002488"
"14.140253	-0.002311"
"14.140130	-0.002575"
"14.140008	-0.002756"
"14.139886	-0.002367"
"14.139763	-0.002218"
"14.139641	-0.002738"
"14.139519	-0.002911"
"14.139396	-0.002838"
"14.139274	-0.003848"
"14.139152	-0.004944"
"14.139030	-0.004413"
"14.138907	-0.003991"
"14.138785	-0.005484"
"14.138663	-0.006747"
"14.138540	-0.005827"
"14.138418	-0.004405"
"14.138296	-0.004333"
"14.138173	-0.004878"
"14.138051	-0.004524"
"14.137929	-0.003341"
"14.137807	-0.003064"
"14.137684	-0.004461"
"14.137562	-0.006054"
"14.137440	-0.006617"
"14.137317	-0.006416"
"14.137195	-0.005240"
