"14.153751	0.001361"
"14.153629	-0.000124"
"14.153506	-0.001141"
"14.153384	-0.000819"
"14.153262	0.000186"
"14.153139	0.000762"
"14.153017	0.000193"
"14.152895	-0.001231"
"14.152772	-0.002189"
"14.152650	-0.002166"
"14.152528	-0.001731"
"14.152406	-0.000956"
"14.152283	-0.000227"
"14.152161	-0.000422"
"14.152039	-0.000631"
"14.151916	0.000309"
"14.151794	0.001196"
"14.151672	0.001185"
"14.151549	0.001293"
"14.151427	0.001521"
"14.151305	0.000981"
"14.151182	0.000019"
"14.151060	-0.000783"
"14.150938	-0.001533"
"14.150816	-0.002399"
"14.150693	-0.003372"
"14.150571	-0.003864"
"14.150449	-0.003335"
"14.150326	-0.002592"
"14.150204	-0.002412"
"14.150082	-0.002315"
"14.149959	-0.002131"
"14.149837	-0.002075"
"14.149715	-0.001801"
"14.149593	-0.001355"
"14.149470	-0.000841"
"14.149348	0.000136"
"14.149226	0.000665"
"14.149103	-0.000315"
"14.148981	-0.001416"
"14.148859	-0.001446"
"14.148736	-0.001433"
"14.148614	-0.001880"
"14.148492	-0.002419"
"14.148369	-0.003099"
"14.148247	-0.003027"
"14.148125	-0.001252"
"14.148003	0.001014"
"14.147880	0.002566"
"14.147758	0.003529"
"14.147636	0.003567"
"14.147513	0.002648"
"14.147391	0.001860"
"14.147269	0.001191"
"14.147146	0.000062"
"14.147024	-0.000491"
"14.146902	0.000594"
"14.146779	0.002668"
"14.146657	0.004296"
"14.146535	0.004326"
"14.146413	0.003086"
"14.146290	0.002348"
"14.146168	0.002526"
"14.146046	0.002048"
"14.145923	0.000244"
"14.145801	-0.002096"
"14.145679	-0.004401"
"14.145556	-0.006264"
"14.145434	-0.007251"
"14.145312	-0.007460"
"14.145189	-0.007203"
"14.145067	-0.006549"
"14.144945	-0.005401"
"14.144823	-0.003955"
"14.144700	-0.003330"
"14.144578	-0.004256"
"14.144456	-0.005053"
"14.144333	-0.003807"
"14.144211	-0.001558"
"14.144089	-0.000233"
"14.143966	0.000185"
"14.143844	0.000191"
"14.143722	-0.000441"
"14.143600	-0.001570"
"14.143477	-0.002793"
"14.143355	-0.003666"
"14.143233	-0.003663"
"14.143110	-0.003344"
"14.142988	-0.003801"
"14.142866	-0.004589"
"14.142743	-0.004986"
"14.142621	-0.005319"
"14.142499	-0.004934"
"14.142376	-0.002756"
"14.142254	-0.000197"
"14.142132	0.000949"
"14.142010	0.001295"
"14.141887	0.001467"
"14.141765	0.000977"
"14.141643	0.000643"
"14.141520	0.001573"
"14.141398	0.002574"
"14.141276	0.001986"
"14.141153	0.000327"
"14.141031	-0.000730"
"14.140909	-0.000583"
"14.140786	-0.000056"
"14.140664	0.000098"
"14.140542	0.000088"
"14.140420	-0.000036"
"14.140297	-0.000711"
"14.140175	-0.001397"
"14.140053	-0.001240"
"14.139930	-0.000956"
"14.139808	-0.001568"
"14.139686	-0.002319"
"14.139563	-0.001942"
"14.139441	-0.000406"
"14.139319	0.001586"
"14.139197	0.003216"
"14.139074	0.003699"
"14.138952	0.003217"
"14.138830	0.002812"
"14.138707	0.002603"
"14.138585	0.001874"
"14.138463	0.001092"
"14.138340	0.001209"
"14.138218	0.001419"
"14.138096	0.000632"
"14.137973	-0.000477"
"14.137851	-0.001289"
"14.137729	-0.002262"
"14.137607	-0.003071"
"14.137484	-0.003026"
"14.137362	-0.002589"
"14.137240	-0.002320"
"14.137117	-0.002157"
"14.136995	-0.002092"
"14.136873	-0.001874"
"14.136750	-0.001375"
"14.136628	-0.001310"
"14.136506	-0.001806"
"14.136383	-0.002019"
"14.136261	-0.001810"
"14.136139	-0.001563"
"14.136017	-0.001520"
"14.135894	-0.002078"
"14.135772	-0.002539"
"14.135650	-0.001573"
"14.135527	-0.000186"
"14.135405	-0.000225"
"14.135283	-0.001069"
"14.135160	-0.001902"
"14.135038	-0.003119"
"14.134916	-0.003899"
"14.134793	-0.003450"
"14.134671	-0.002968"
"14.134549	-0.002812"
"14.134427	-0.001951"
"14.134304	-0.000635"
"14.134182	0.000417"
"14.134060	0.001185"
"14.133937	0.001156"
"14.133815	0.000365"
"14.133693	-0.000030"
"14.133570	-0.000172"
"14.133448	-0.001090"
"14.133326	-0.002280"
"14.133204	-0.002935"
"14.133081	-0.003318"
"14.132959	-0.003564"
"14.132837	-0.003456"
"14.132714	-0.003070"
"14.132592	-0.002516"
"14.132470	-0.001855"
"14.132347	-0.000941"
"14.132225	0.000428"
"14.132103	0.001367"
"14.131980	0.000698"
"14.131858	-0.000742"
"14.131736	-0.001242"
"14.131614	-0.000758"
"14.131491	-0.000298"
"14.131369	-0.000343"
"14.131247	-0.000747"
"14.131124	-0.001050"
"14.131002	-0.001046"
"14.130880	-0.000934"
"14.130757	-0.000924"
"14.130635	-0.001440"
"14.130513	-0.002463"
"14.130390	-0.002412"
"14.130268	-0.000623"
"14.130146	0.000711"
"14.130024	0.000456"
"14.129901	0.000420"
"14.129779	0.001084"
"14.129657	0.001167"
"14.129534	0.000962"
"14.129412	0.000912"
"14.129290	0.000178"
"14.129167	-0.000604"
"14.129045	-0.000325"
"14.128923	-0.000191"
"14.128800	-0.000772"
"14.128678	-0.000221"
"14.128556	0.001775"
"14.128434	0.003127"
"14.128311	0.002694"
"14.128189	0.001107"
"14.128067	-0.000347"
"14.127944	-0.000697"
"14.127822	-0.000519"
"14.127700	-0.000688"
"14.127577	-0.000476"
"14.127455	0.000558"
"14.127333	0.001120"
"14.127211	0.000512"
"14.127088	-0.000548"
"14.126966	-0.001579"
"14.126844	-0.002580"
"14.126721	-0.003480"
"14.126599	-0.003878"
"14.126477	-0.003182"
"14.126354	-0.001907"
"14.126232	-0.001123"
"14.126110	-0.000083"
"14.125987	0.002066"
"14.125865	0.003538"
"14.125743	0.003059"
"14.125621	0.002282"
"14.125498	0.002364"
"14.125376	0.002433"
"14.125254	0.001906"
"14.125131	0.000937"
"14.125009	0.000053"
"14.124887	-0.000101"
"14.124764	-0.000282"
"14.124642	-0.001667"
"14.124520	-0.003131"
"14.124397	-0.003168"
"14.124275	-0.002725"
"14.124153	-0.003033"
"14.124031	-0.003518"
"14.123908	-0.003165"
"14.123786	-0.001727"
"14.123664	-0.000054"
"14.123541	0.000389"
"14.123419	-0.000478"
"14.123297	-0.001221"
"14.123174	-0.001417"
"14.123052	-0.001880"
"14.122930	-0.002315"
"14.122808	-0.001386"
"14.122685	0.001004"
"14.122563	0.003207"
"14.122441	0.003629"
"14.122318	0.002269"
"14.122196	0.000321"
"14.122074	-0.000988"
"14.121951	-0.001095"
"14.121829	-0.000607"
"14.121707	-0.000858"
"14.121584	-0.002220"
"14.121462	-0.003492"
"14.121340	-0.003350"
"14.121218	-0.001843"
"14.121095	-0.000365"
"14.120973	0.000073"
"14.120851	0.000362"
"14.120728	0.001640"
"14.120606	0.002954"
"14.120484	0.002707"
"14.120361	0.001041"
"14.120239	-0.001123"
"14.120117	-0.003317"
"14.119994	-0.004690"
"14.119872	-0.004444"
"14.119750	-0.003542"
"14.119628	-0.003598"
"14.119505	-0.004280"
"14.119383	-0.004025"
"14.119261	-0.002990"
"14.119138	-0.002821"
"14.119016	-0.003874"
"14.118894	-0.004859"
"14.118771	-0.004590"
"14.118649	-0.002864"
"14.118527	-0.000775"
"14.118404	0.000072"
"14.118282	-0.000624"
"14.118160	-0.002102"
"14.118038	-0.003875"
"14.117915	-0.004960"
"14.117793	-0.004297"
"14.117671	-0.002823"
"14.117548	-0.002025"
"14.117426	-0.001781"
"14.117304	-0.001865"
"14.117181	-0.002230"
"14.117059	-0.001788"
"14.116937	-0.000588"
"14.116815	-0.000236"
"14.116692	-0.000534"
"14.116570	-0.000398"
"14.116448	-0.000758"
"14.116325	-0.002233"
"14.116203	-0.003396"
"14.116081	-0.003314"
"14.115958	-0.002311"
"14.115836	-0.001063"
"14.115714	-0.000265"
"14.115591	0.000299"
"14.115469	0.001160"
"14.115347	0.001682"
"14.115225	0.001689"
"14.115102	0.001822"
"14.114980	0.001301"
"14.114858	0.000097"
"14.114735	0.000520"
"14.114613	0.002385"
"14.114491	0.002947"
"14.114368	0.002370"
"14.114246	0.002270"
"14.114124	0.001993"
"14.114001	0.001142"
"14.113879	0.000596"
"14.113757	0.000475"
"14.113635	0.000832"
"14.113512	0.001265"
"14.113390	0.000284"
"14.113268	-0.001091"
"14.113145	-0.000359"
"14.113023	0.001056"
"14.112901	0.000812"
"14.112778	0.000400"
"14.112656	0.000781"
"14.112534	0.000667"
"14.112411	0.000837"
"14.112289	0.002469"
"14.112167	0.003805"
"14.112045	0.003560"
"14.111922	0.002736"
"14.111800	0.001984"
"14.111678	0.001057"
"14.111555	-0.000150"
"14.111433	-0.001341"
"14.111311	-0.001519"
"14.111188	-0.000602"
"14.111066	-0.000239"
"14.110944	-0.000951"
"14.110822	-0.001399"
"14.110699	-0.001061"
"14.110577	-0.000472"
"14.110455	-0.000236"
"14.110332	-0.000823"
"14.110210	-0.001259"
"14.110088	-0.000039"
"14.109965	0.001457"
"14.109843	0.000996"
"14.109721	-0.000295"
"14.109598	-0.000316"
"14.109476	0.000149"
"14.109354	-0.000491"
"14.109232	-0.001650"
"14.109109	-0.001741"
"14.108987	-0.000815"
"14.108865	-0.000481"
"14.108742	-0.001131"
"14.108620	-0.001549"
"14.108498	-0.001298"
"14.108375	-0.000612"
"14.108253	0.000890"
"14.108131	0.002648"
"14.108008	0.003148"
"14.107886	0.002540"
"14.107764	0.001963"
"14.107642	0.001737"
"14.107519	0.002034"
"14.107397	0.002473"
"14.107275	0.001845"
"14.107152	0.000706"
"14.107030	0.000491"
"14.106908	0.000112"
"14.106785	-0.001590"
"14.106663	-0.002979"
"14.106541	-0.003195"
"14.106419	-0.003474"
"14.106296	-0.003504"
"14.106174	-0.002334"
"14.106052	-0.001333"
"14.105929	-0.001559"
"14.105807	-0.001563"
"14.105685	-0.000666"
"14.105562	-0.000192"
"14.105440	-0.000533"
"14.105318	-0.000665"
"14.105195	-0.000276"
"14.105073	0.000085"
"14.104951	0.000237"
"14.104829	0.000446"
"14.104706	0.000911"
"14.104584	0.001574"
"14.104462	0.002192"
"14.104339	0.002593"
"14.104217	0.002645"
"14.104095	0.002202"
"14.103972	0.001437"
"14.103850	0.000603"
"14.103728	-0.000289"
"14.103605	-0.000809"
"14.103483	-0.000514"
"14.103361	-0.000231"
"14.103239	-0.000795"
"14.103116	-0.001431"
"14.102994	-0.001254"
"14.102872	-0.000509"
"14.102749	0.000263"
"14.102627	0.000359"
"14.102505	-0.000482"
"14.102382	-0.000901"
"14.102260	0.000048"
"14.102138	0.001125"
"14.102015	0.001217"
"14.101893	0.000479"
"14.101771	-0.000976"
"14.101649	-0.002479"
"14.101526	-0.002989"
"14.101404	-0.003069"
"14.101282	-0.003732"
"14.101159	-0.004656"
"14.101037	-0.005503"
"14.100915	-0.006082"
"14.100792	-0.005648"
"14.100670	-0.004589"
"14.100548	-0.004167"
"14.100426	-0.003863"
"14.100303	-0.002488"
"14.100181	-0.000492"
"14.100059	0.001171"
"14.099936	0.002115"
"14.099814	0.002166"
"14.099692	0.001507"
"14.099569	0.000464"
"14.099447	-0.000646"
"14.099325	-0.000918"
"14.099202	0.000085"
"14.099080	0.000983"
"14.098958	0.000519"
"14.098836	-0.000503"
"14.098713	-0.000730"
"14.098591	-0.000082"
"14.098469	0.000805"
"14.098346	0.001323"
