"14.159851	-0.004524"
"14.159729	-0.004446"
"14.159606	-0.002530"
"14.159484	-0.000777"
"14.159362	-0.001007"
"14.159239	-0.001883"
"14.159117	-0.002065"
"14.158995	-0.002075"
"14.158872	-0.002469"
"14.158750	-0.003549"
"14.158628	-0.005235"
"14.158506	-0.006237"
"14.158383	-0.005758"
"14.158261	-0.004697"
"14.158139	-0.003989"
"14.158016	-0.004138"
"14.157894	-0.005103"
"14.157772	-0.005411"
"14.157649	-0.004498"
"14.157527	-0.004296"
"14.157405	-0.005192"
"14.157282	-0.005155"
"14.157160	-0.004345"
"14.157038	-0.004561"
"14.156916	-0.005252"
"14.156793	-0.005068"
"14.156671	-0.004300"
"14.156549	-0.003716"
"14.156426	-0.003801"
"14.156304	-0.004419"
"14.156182	-0.004723"
"14.156059	-0.005039"
"14.155937	-0.006281"
"14.155815	-0.007191"
"14.155692	-0.006595"
"14.155570	-0.005845"
"14.155448	-0.005340"
"14.155326	-0.003985"
"14.155203	-0.003053"
"14.155081	-0.003966"
"14.154959	-0.004589"
"14.154836	-0.003224"
"14.154714	-0.001781"
"14.154592	-0.001989"
"14.154469	-0.003182"
"14.154347	-0.004189"
"14.154225	-0.004320"
"14.154102	-0.003578"
"14.153980	-0.002743"
"14.153858	-0.002067"
"14.153736	-0.001252"
"14.153613	-0.001085"
"14.153491	-0.002221"
"14.153369	-0.003084"
"14.153246	-0.002304"
"14.153124	-0.001352"
"14.153002	-0.001658"
"14.152879	-0.002185"
"14.152757	-0.002289"
"14.152635	-0.002829"
"14.152513	-0.003365"
"14.152390	-0.002934"
"14.152268	-0.002882"
"14.152146	-0.004336"
"14.152023	-0.005546"
"14.151901	-0.005148"
"14.151779	-0.004223"
"14.151656	-0.003615"
"14.151534	-0.003121"
"14.151412	-0.002792"
"14.151289	-0.002507"
"14.151167	-0.002077"
"14.151045	-0.002087"
"14.150923	-0.002553"
"14.150800	-0.002541"
"14.150678	-0.002349"
"14.150556	-0.003088"
"14.150433	-0.004350"
"14.150311	-0.005271"
"14.150189	-0.006088"
"14.150066	-0.006634"
"14.149944	-0.006126"
"14.149822	-0.005131"
"14.149699	-0.004810"
"14.149577	-0.005018"
"14.149455	-0.005241"
"14.149333	-0.005564"
"14.149210	-0.005828"
"14.149088	-0.005831"
"14.148966	-0.005899"
"14.148843	-0.005861"
"14.148721	-0.005187"
"14.148599	-0.004558"
"14.148476	-0.004824"
"14.148354	-0.004964"
"14.148232	-0.003799"
"14.148110	-0.002473"
"14.147987	-0.002752"
"14.147865	-0.004252"
"14.147743	-0.005415"
"14.147620	-0.005702"
"14.147498	-0.005423"
"14.147376	-0.004812"
"14.147253	-0.004190"
"14.147131	-0.003980"
"14.147009	-0.004385"
"14.146886	-0.005333"
"14.146764	-0.006254"
"14.146642	-0.006527"
"14.146520	-0.006357"
"14.146397	-0.005973"
"14.146275	-0.005011"
"14.146153	-0.004278"
"14.146030	-0.005359"
"14.145908	-0.007382"
"14.145786	-0.008004"
"14.145663	-0.006897"
"14.145541	-0.004977"
"14.145419	-0.002939"
"14.145296	-0.002211"
"14.145174	-0.003434"
"14.145052	-0.004799"
"14.144930	-0.004969"
"14.144807	-0.004749"
"14.144685	-0.004620"
"14.144563	-0.004023"
"14.144440	-0.002769"
"14.144318	-0.001268"
"14.144196	-0.000480"
"14.144073	-0.001265"
"14.143951	-0.002874"
"14.143829	-0.003534"
"14.143706	-0.002735"
"14.143584	-0.001769"
"14.143462	-0.001936"
"14.143340	-0.002666"
"14.143217	-0.002675"
"14.143095	-0.002683"
"14.142973	-0.003939"
"14.142850	-0.005225"
"14.142728	-0.005357"
"14.142606	-0.005413"
"14.142483	-0.005588"
"14.142361	-0.004698"
"14.142239	-0.003544"
"14.142117	-0.003709"
"14.141994	-0.004541"
"14.141872	-0.004657"
"14.141750	-0.003946"
"14.141627	-0.003084"
"14.141505	-0.002994"
"14.141383	-0.004191"
"14.141260	-0.005793"
"14.141138	-0.006193"
"14.141016	-0.005075"
"14.140893	-0.003925"
"14.140771	-0.003689"
"14.140649	-0.003295"
"14.140527	-0.002290"
"14.140404	-0.001995"
"14.140282	-0.002296"
"14.140160	-0.001724"
"14.140037	-0.000694"
"14.139915	-0.000037"
"14.139793	0.000845"
"14.139670	0.001596"
"14.139548	0.001163"
"14.139426	0.000359"
"14.139303	0.000254"
"14.139181	0.000485"
"14.139059	0.000403"
"14.138937	-0.000494"
"14.138814	-0.001831"
"14.138692	-0.001928"
"14.138570	-0.000738"
"14.138447	-0.000287"
"14.138325	-0.000847"
"14.138203	-0.001109"
"14.138080	-0.001126"
"14.137958	-0.001492"
"14.137836	-0.001759"
"14.137713	-0.001212"
"14.137591	-0.000056"
"14.137469	0.000343"
"14.137347	-0.000524"
"14.137224	-0.000948"
"14.137102	-0.000124"
"14.136980	0.000673"
"14.136857	0.001319"
"14.136735	0.001983"
"14.136613	0.001115"
"14.136490	-0.000850"
"14.136368	-0.001401"
"14.136246	-0.001335"
"14.136124	-0.003048"
"14.136001	-0.005478"
"14.135879	-0.006487"
"14.135757	-0.006287"
"14.135634	-0.006132"
"14.135512	-0.006739"
"14.135390	-0.007616"
"14.135267	-0.007510"
"14.135145	-0.006384"
"14.135023	-0.005120"
"14.134900	-0.004067"
"14.134778	-0.003765"
"14.134656	-0.004497"
"14.134534	-0.005011"
"14.134411	-0.004523"
"14.134289	-0.003726"
"14.134167	-0.002760"
"14.134044	-0.001544"
"14.133922	-0.000728"
"14.133800	-0.000189"
"14.133677	0.000551"
"14.133555	0.000723"
"14.133433	-0.000138"
"14.133310	-0.000924"
"14.133188	-0.000805"
"14.133066	-0.000565"
"14.132944	-0.001488"
"14.132821	-0.003245"
"14.132699	-0.004178"
"14.132577	-0.004366"
"14.132454	-0.005326"
"14.132332	-0.006268"
"14.132210	-0.005377"
"14.132087	-0.003791"
"14.131965	-0.003461"
"14.131843	-0.003750"
"14.131721	-0.003624"
"14.131598	-0.003630"
"14.131476	-0.003906"
"14.131354	-0.003311"
"14.131231	-0.001475"
"14.131109	0.000149"
"14.130987	0.000205"
"14.130864	-0.000768"
"14.130742	-0.001779"
"14.130620	-0.002954"
"14.130497	-0.004051"
"14.130375	-0.004016"
"14.130253	-0.003046"
"14.130131	-0.002361"
"14.130008	-0.002049"
"14.129886	-0.001478"
"14.129764	-0.000884"
"14.129641	-0.000888"
"14.129519	-0.001198"
"14.129397	-0.001100"
"14.129274	-0.000888"
"14.129152	-0.001240"
"14.129030	-0.001682"
"14.128907	-0.001539"
"14.128785	-0.000968"
"14.128663	0.000319"
"14.128541	0.002445"
"14.128418	0.003735"
"14.128296	0.003081"
"14.128174	0.001745"
"14.128051	0.000753"
"14.127929	0.000096"
"14.127807	-0.000003"
"14.127684	-0.000062"
"14.127562	-0.000864"
"14.127440	-0.001389"
"14.127317	-0.000720"
"14.127195	0.000115"
"14.127073	0.000425"
"14.126951	0.000564"
"14.126828	0.000462"
"14.126706	0.000095"
"14.126584	-0.000418"
"14.126461	-0.001238"
"14.126339	-0.001564"
"14.126217	-0.000566"
"14.126094	0.000254"
"14.125972	-0.000561"
"14.125850	-0.001583"
"14.125728	-0.001243"
"14.125605	-0.000432"
"14.125483	-0.000664"
"14.125361	-0.001980"
"14.125238	-0.003141"
"14.125116	-0.003281"
"14.124994	-0.003051"
"14.124871	-0.003113"
"14.124749	-0.002829"
"14.124627	-0.002196"
"14.124504	-0.002696"
"14.124382	-0.004670"
"14.124260	-0.006310"
"14.124138	-0.005872"
"14.124015	-0.003664"
"14.123893	-0.001933"
"14.123771	-0.002251"
"14.123648	-0.003039"
"14.123526	-0.002173"
"14.123404	-0.000955"
"14.123281	-0.001622"
"14.123159	-0.003133"
"14.123037	-0.003406"
"14.122914	-0.002821"
"14.122792	-0.002411"
"14.122670	-0.001886"
"14.122548	-0.001112"
"14.122425	-0.000686"
"14.122303	-0.000850"
"14.122181	-0.001495"
"14.122058	-0.002512"
"14.121936	-0.003745"
"14.121814	-0.005347"
"14.121691	-0.007142"
"14.121569	-0.007757"
"14.121447	-0.006332"
"14.121324	-0.004131"
"14.121202	-0.002791"
"14.121080	-0.002636"
"14.120958	-0.003359"
"14.120835	-0.004345"
"14.120713	-0.004608"
"14.120591	-0.003799"
"14.120468	-0.002539"
"14.120346	-0.001570"
"14.120224	-0.001338"
"14.120101	-0.001675"
"14.119979	-0.001972"
"14.119857	-0.002326"
"14.119735	-0.003171"
"14.119612	-0.004004"
"14.119490	-0.004535"
"14.119368	-0.005583"
"14.119245	-0.006810"
"14.119123	-0.006440"
"14.119001	-0.004570"
"14.118878	-0.003204"
"14.118756	-0.002872"
"14.118634	-0.002439"
"14.118511	-0.001387"
"14.118389	-0.000140"
"14.118267	0.000576"
"14.118145	0.000168"
"14.118022	-0.001000"
"14.117900	-0.001933"
"14.117778	-0.002335"
"14.117655	-0.002394"
"14.117533	-0.001946"
"14.117411	-0.000985"
"14.117288	-0.000242"
"14.117166	-0.000882"
"14.117044	-0.003353"
"14.116921	-0.006027"
"14.116799	-0.006598"
"14.116677	-0.005447"
"14.116555	-0.004678"
"14.116432	-0.004252"
"14.116310	-0.002932"
"14.116188	-0.001298"
"14.116065	-0.000430"
"14.115943	-0.000114"
"14.115821	0.000011"
"14.115698	-0.000083"
"14.115576	-0.000176"
"14.115454	-0.000108"
"14.115332	0.000208"
"14.115209	0.000714"
"14.115087	0.000718"
"14.114965	-0.000004"
"14.114842	-0.000451"
"14.114720	-0.000368"
"14.114598	-0.000646"
"14.114475	-0.001371"
"14.114353	-0.002163"
"14.114231	-0.003217"
"14.114108	-0.004100"
"14.113986	-0.004065"
"14.113864	-0.003819"
"14.113742	-0.004015"
"14.113619	-0.003582"
"14.113497	-0.002305"
"14.113375	-0.001920"
"14.113252	-0.002718"
"14.113130	-0.003121"
"14.113008	-0.003224"
"14.112885	-0.004149"
"14.112763	-0.004749"
"14.112641	-0.003610"
"14.112518	-0.002179"
"14.112396	-0.001924"
"14.112274	-0.001845"
"14.112152	-0.001245"
"14.112029	-0.001038"
"14.111907	-0.001562"
"14.111785	-0.002311"
"14.111662	-0.003200"
"14.111540	-0.004378"
"14.111418	-0.005528"
"14.111295	-0.005635"
"14.111173	-0.004018"
"14.111051	-0.001921"
"14.110928	-0.001022"
"14.110806	-0.001020"
"14.110684	-0.001311"
"14.110562	-0.002425"
"14.110439	-0.003856"
"14.110317	-0.004261"
"14.110195	-0.003925"
"14.110072	-0.003920"
"14.109950	-0.004517"
"14.109828	-0.005555"
"14.109705	-0.006175"
"14.109583	-0.005520"
"14.109461	-0.004527"
"14.109339	-0.004310"
"14.109216	-0.004157"
"14.109094	-0.003682"
"14.108972	-0.003821"
"14.108849	-0.004548"
"14.108727	-0.004769"
"14.108605	-0.004279"
"14.108482	-0.003650"
"14.108360	-0.003044"
"14.108238	-0.002248"
"14.108115	-0.001492"
"14.107993	-0.001305"
"14.107871	-0.001719"
"14.107749	-0.002636"
"14.107626	-0.004087"
"14.107504	-0.005061"
"14.107382	-0.004427"
"14.107259	-0.003146"
"14.107137	-0.002342"
"14.107015	-0.001445"
"14.106892	-0.001025"
"14.106770	-0.002428"
"14.106648	-0.003999"
"14.106525	-0.003668"
"14.106403	-0.002948"
"14.106281	-0.003362"
"14.106159	-0.003625"
"14.106036	-0.003043"
"14.105914	-0.002684"
"14.105792	-0.002805"
"14.105669	-0.002703"
"14.105547	-0.002325"
