"14.199951	0.003707"
"14.199828	0.002853"
"14.199706	0.001041"
"14.199584	-0.000688"
"14.199461	-0.000903"
"14.199339	-0.000648"
"14.199217	-0.001355"
"14.199094	-0.002305"
"14.198972	-0.002910"
"14.198850	-0.003757"
"14.198728	-0.004728"
"14.198605	-0.005296"
"14.198483	-0.005660"
"14.198361	-0.005986"
"14.198238	-0.005989"
"14.198116	-0.005228"
"14.197994	-0.003556"
"14.197871	-0.001702"
"14.197749	-0.000504"
"14.197627	0.000144"
"14.197505	0.000212"
"14.197382	-0.000767"
"14.197260	-0.002194"
"14.197138	-0.003047"
"14.197015	-0.003285"
"14.196893	-0.003003"
"14.196771	-0.002445"
"14.196648	-0.002586"
"14.196526	-0.003348"
"14.196404	-0.003268"
"14.196281	-0.002187"
"14.196159	-0.001181"
"14.196037	-0.000533"
"14.195915	-0.000413"
"14.195792	-0.001548"
"14.195670	-0.003243"
"14.195548	-0.003411"
"14.195425	-0.001602"
"14.195303	0.000342"
"14.195181	0.001078"
"14.195058	0.001060"
"14.194936	0.000629"
"14.194814	-0.000766"
"14.194691	-0.002319"
"14.194569	-0.002121"
"14.194447	-0.000687"
"14.194325	-0.000398"
"14.194202	-0.001491"
"14.194080	-0.002505"
"14.193958	-0.002877"
"14.193835	-0.002260"
"14.193713	-0.000523"
"14.193591	0.000742"
"14.193468	0.000552"
"14.193346	0.000440"
"14.193224	0.000930"
"14.193101	0.000501"
"14.192979	-0.000630"
"14.192857	-0.000833"
"14.192735	-0.000326"
"14.192612	-0.000308"
"14.192490	-0.000961"
"14.192368	-0.001797"
"14.192245	-0.001974"
"14.192123	-0.000914"
"14.192001	0.000614"
"14.191878	0.001670"
"14.191756	0.002430"
"14.191634	0.002979"
"14.191512	0.002625"
"14.191389	0.001250"
"14.191267	-0.000036"
"14.191145	-0.000008"
"14.191022	0.001020"
"14.190900	0.001343"
"14.190778	0.000449"
"14.190655	-0.000421"
"14.190533	-0.000838"
"14.190411	-0.001302"
"14.190288	-0.001652"
"14.190166	-0.002021"
"14.190044	-0.003124"
"14.189922	-0.004182"
"14.189799	-0.004001"
"14.189677	-0.003587"
"14.189555	-0.004323"
"14.189432	-0.005476"
"14.189310	-0.005776"
"14.189188	-0.005080"
"14.189065	-0.003510"
"14.188943	-0.001427"
"14.188821	-0.000238"
"14.188698	-0.000834"
"14.188576	-0.001926"
"14.188454	-0.002125"
"14.188332	-0.002018"
"14.188209	-0.002046"
"14.188087	-0.001169"
"14.187965	0.000478"
"14.187842	0.001222"
"14.187720	0.000916"
"14.187598	0.000553"
"14.187475	-0.000084"
"14.187353	-0.001403"
"14.187231	-0.002718"
"14.187109	-0.003484"
"14.186986	-0.003534"
"14.186864	-0.002547"
"14.186742	-0.000952"
"14.186619	-0.000122"
"14.186497	-0.000796"
"14.186375	-0.002136"
"14.186252	-0.002567"
"14.186130	-0.001434"
"14.186008	0.000388"
"14.185885	0.001812"
"14.185763	0.002504"
"14.185641	0.002145"
"14.185519	0.000600"
"14.185396	-0.000963"
"14.185274	-0.001119"
"14.185152	-0.000492"
"14.185029	-0.000849"
"14.184907	-0.001851"
"14.184785	-0.001522"
"14.184662	0.000048"
"14.184540	0.001061"
"14.184418	0.001625"
"14.184295	0.002518"
"14.184173	0.002159"
"14.184051	-0.000541"
"14.183929	-0.003173"
"14.183806	-0.003545"
"14.183684	-0.002899"
"14.183562	-0.002921"
"14.183439	-0.003239"
"14.183317	-0.002935"
"14.183195	-0.001822"
"14.183072	-0.000390"
"14.182950	0.000099"
"14.182828	-0.001149"
"14.182705	-0.002809"
"14.182583	-0.003117"
"14.182461	-0.002643"
"14.182339	-0.002900"
"14.182216	-0.003586"
"14.182094	-0.003574"
"14.181972	-0.002904"
"14.181849	-0.002034"
"14.181727	-0.001231"
"14.181605	-0.001006"
"14.181482	-0.001537"
"14.181360	-0.001943"
"14.181238	-0.001283"
"14.181116	-0.000074"
"14.180993	0.000270"
"14.180871	-0.000244"
"14.180749	-0.000309"
"14.180626	-0.000294"
"14.180504	-0.001293"
"14.180382	-0.002118"
"14.180259	-0.001954"
"14.180137	-0.002443"
"14.180015	-0.003377"
"14.179892	-0.002796"
"14.179770	-0.001841"
"14.179648	-0.002081"
"14.179526	-0.001879"
"14.179403	-0.000727"
"14.179281	-0.000303"
"14.179159	-0.000454"
"14.179036	-0.000361"
"14.178914	-0.000157"
"14.178792	0.000587"
"14.178669	0.001275"
"14.178547	0.000367"
"14.178425	-0.000741"
"14.178302	-0.000432"
"14.178180	-0.000732"
"14.178058	-0.002700"
"14.177936	-0.004306"
"14.177813	-0.004873"
"14.177691	-0.004937"
"14.177569	-0.004156"
"14.177446	-0.002994"
"14.177324	-0.002486"
"14.177202	-0.002555"
"14.177079	-0.002969"
"14.176957	-0.003371"
"14.176835	-0.003098"
"14.176713	-0.002760"
"14.176590	-0.002812"
"14.176468	-0.002071"
"14.176346	-0.000712"
"14.176223	-0.000580"
"14.176101	-0.001462"
"14.175979	-0.001659"
"14.175856	-0.001086"
"14.175734	-0.000880"
"14.175612	-0.001715"
"14.175489	-0.002984"
"14.175367	-0.003201"
"14.175245	-0.002152"
"14.175123	-0.001394"
"14.175000	-0.001598"
"14.174878	-0.001847"
"14.174756	-0.001844"
"14.174633	-0.002339"
"14.174511	-0.003295"
"14.174389	-0.003601"
"14.174266	-0.003025"
"14.174144	-0.002700"
"14.174022	-0.002843"
"14.173899	-0.002356"
"14.173777	-0.001309"
"14.173655	-0.000762"
"14.173533	-0.000554"
"14.173410	-0.000093"
"14.173288	0.000118"
"14.173166	-0.000363"
"14.173043	-0.000825"
"14.172921	-0.000554"
"14.172799	-0.000378"
"14.172676	-0.001389"
"14.172554	-0.002121"
"14.172432	-0.000824"
"14.172309	0.000214"
"14.172187	-0.001348"
"14.172065	-0.002853"
"14.171943	-0.001940"
"14.171820	-0.000782"
"14.171698	-0.000905"
"14.171576	-0.001215"
"14.171453	-0.001558"
"14.171331	-0.001996"
"14.171209	-0.001620"
"14.171086	-0.000754"
"14.170964	-0.000246"
"14.170842	0.000156"
"14.170720	0.000173"
"14.170597	-0.000759"
"14.170475	-0.001559"
"14.170353	-0.001259"
"14.170230	-0.000786"
"14.170108	-0.001008"
"14.169986	-0.001390"
"14.169863	-0.001456"
"14.169741	-0.001980"
"14.169619	-0.003571"
"14.169496	-0.004944"
"14.169374	-0.004406"
"14.169252	-0.002280"
"14.169130	-0.000161"
"14.169007	0.000718"
"14.168885	-0.000086"
"14.168763	-0.001496"
"14.168640	-0.001826"
"14.168518	-0.001390"
"14.168396	-0.001471"
"14.168273	-0.001747"
"14.168151	-0.001613"
"14.168029	-0.001613"
"14.167906	-0.001980"
"14.167784	-0.002233"
"14.167662	-0.002225"
"14.167540	-0.002147"
"14.167417	-0.002130"
"14.167295	-0.001891"
"14.167173	-0.000824"
"14.167050	0.000542"
"14.166928	0.000715"
"14.166806	-0.000369"
"14.166683	-0.001301"
"14.166561	-0.001712"
"14.166439	-0.002456"
"14.166316	-0.003617"
"14.166194	-0.004163"
"14.166072	-0.003524"
"14.165950	-0.002308"
"14.165827	-0.001138"
"14.165705	0.000004"
"14.165583	0.000797"
"14.165460	0.000592"
"14.165338	-0.000305"
"14.165216	-0.001026"
"14.165093	-0.001199"
"14.164971	-0.000877"
"14.164849	-0.000541"
"14.164727	-0.000996"
"14.164604	-0.001983"
"14.164482	-0.002253"
"14.164360	-0.001817"
"14.164237	-0.001941"
"14.164115	-0.002539"
"14.163993	-0.002330"
"14.163870	-0.001430"
"14.163748	-0.000996"
"14.163626	-0.001103"
"14.163503	-0.001599"
"14.163381	-0.003075"
"14.163259	-0.004982"
"14.163137	-0.005690"
"14.163014	-0.005005"
"14.162892	-0.003971"
"14.162770	-0.003050"
"14.162647	-0.002202"
"14.162525	-0.001314"
"14.162403	-0.000717"
"14.162280	-0.001517"
"14.162158	-0.003443"
"14.162036	-0.004489"
"14.161913	-0.004485"
"14.161791	-0.004286"
"14.161669	-0.002756"
"14.161547	-0.000079"
"14.161424	0.000776"
"14.161302	-0.000320"
"14.161180	-0.000908"
"14.161057	-0.001035"
"14.160935	-0.001554"
"14.160813	-0.001962"
"14.160690	-0.002900"
"14.160568	-0.004600"
"14.160446	-0.004876"
"14.160324	-0.003321"
"14.160201	-0.001961"
"14.160079	-0.001065"
"14.159957	-0.000005"
"14.159834	0.000714"
"14.159712	0.001301"
