"14.152751	-0.003539"
"14.152629	-0.003424"
"14.152506	-0.002303"
"14.152384	-0.000490"
"14.152262	0.001023"
"14.152139	0.000782"
"14.152017	-0.000575"
"14.151895	-0.000718"
"14.151772	0.000161"
"14.151650	-0.000132"
"14.151528	-0.001725"
"14.151406	-0.003032"
"14.151283	-0.003514"
"14.151161	-0.003583"
"14.151039	-0.003399"
"14.150916	-0.002803"
"14.150794	-0.002018"
"14.150672	-0.001543"
"14.150549	-0.001206"
"14.150427	-0.000985"
"14.150305	-0.001870"
"14.150182	-0.003344"
"14.150060	-0.003021"
"14.149938	-0.001016"
"14.149816	-0.000175"
"14.149693	-0.001345"
"14.149571	-0.002831"
"14.149449	-0.003283"
"14.149326	-0.002600"
"14.149204	-0.001977"
"14.149082	-0.002918"
"14.148959	-0.004582"
"14.148837	-0.004373"
"14.148715	-0.001997"
"14.148593	-0.000083"
"14.148470	-0.000305"
"14.148348	-0.001402"
"14.148226	-0.001980"
"14.148103	-0.002848"
"14.147981	-0.004554"
"14.147859	-0.005280"
"14.147736	-0.003708"
"14.147614	-0.001271"
"14.147492	0.000123"
"14.147369	0.000089"
"14.147247	-0.000647"
"14.147125	-0.000927"
"14.147003	-0.000108"
"14.146880	0.001070"
"14.146758	0.001270"
"14.146636	-0.000163"
"14.146513	-0.002549"
"14.146391	-0.004085"
"14.146269	-0.003692"
"14.146146	-0.002515"
"14.146024	-0.002204"
"14.145902	-0.002572"
"14.145779	-0.002527"
"14.145657	-0.002323"
"14.145535	-0.002991"
"14.145413	-0.004294"
"14.145290	-0.005167"
"14.145168	-0.005472"
"14.145046	-0.005580"
"14.144923	-0.005434"
"14.144801	-0.005248"
"14.144679	-0.005268"
"14.144556	-0.004949"
"14.144434	-0.004068"
"14.144312	-0.003308"
"14.144189	-0.002857"
"14.144067	-0.002044"
"14.143945	-0.000657"
"14.143823	0.000490"
"14.143700	0.000390"
"14.143578	-0.000500"
"14.143456	-0.000602"
"14.143333	0.000309"
"14.143211	0.001297"
"14.143089	0.002173"
"14.142966	0.002693"
"14.142844	0.002177"
"14.142722	0.001078"
"14.142600	0.000058"
"14.142477	-0.000940"
"14.142355	-0.001165"
"14.142233	-0.000148"
"14.142110	0.000838"
"14.141988	0.001299"
"14.141866	0.001838"
"14.141743	0.001807"
"14.141621	0.001036"
"14.141499	0.001134"
"14.141376	0.002502"
"14.141254	0.003772"
"14.141132	0.003847"
"14.141010	0.002424"
"14.140887	0.000752"
"14.140765	0.000780"
"14.140643	0.002218"
"14.140520	0.003582"
"14.140398	0.004771"
"14.140276	0.005674"
"14.140153	0.005611"
"14.140031	0.004585"
"14.139909	0.002473"
"14.139786	-0.000285"
"14.139664	-0.001561"
"14.139542	-0.000835"
"14.139420	-0.000065"
"14.139297	0.000303"
"14.139175	0.000871"
"14.139053	0.000846"
"14.138930	0.000230"
"14.138808	0.000256"
"14.138686	0.000759"
"14.138563	0.001079"
"14.138441	0.001305"
"14.138319	0.000879"
"14.138197	-0.000680"
"14.138074	-0.002337"
"14.137952	-0.002998"
"14.137830	-0.002727"
"14.137707	-0.002120"
"14.137585	-0.001612"
"14.137463	-0.001154"
"14.137340	-0.000620"
"14.137218	-0.000123"
"14.137096	0.000507"
"14.136973	0.001194"
"14.136851	0.001124"
"14.136729	0.000224"
"14.136607	-0.000722"
"14.136484	-0.001518"
"14.136362	-0.002048"
"14.136240	-0.002092"
"14.136117	-0.002321"
"14.135995	-0.002894"
"14.135873	-0.002776"
"14.135750	-0.002206"
"14.135628	-0.002487"
"14.135506	-0.003488"
"14.135383	-0.004215"
"14.135261	-0.003933"
"14.135139	-0.002146"
"14.135017	0.000056"
"14.134894	0.000656"
"14.134772	-0.000116"
"14.134650	-0.000611"
"14.134527	-0.000874"
"14.134405	-0.001505"
"14.134283	-0.001919"
"14.134160	-0.001798"
"14.134038	-0.001778"
"14.133916	-0.002304"
"14.133793	-0.003425"
"14.133671	-0.004583"
"14.133549	-0.004519"
"14.133427	-0.003149"
"14.133304	-0.002367"
"14.133182	-0.002869"
"14.133060	-0.002788"
"14.132937	-0.001607"
"14.132815	-0.001408"
"14.132693	-0.002398"
"14.132570	-0.002394"
"14.132448	-0.001491"
"14.132326	-0.001813"
"14.132204	-0.003222"
"14.132081	-0.003872"
"14.131959	-0.003362"
"14.131837	-0.002444"
"14.131714	-0.001510"
"14.131592	-0.000669"
"14.131470	-0.000157"
"14.131347	-0.000054"
"14.131225	0.000117"
"14.131103	0.000645"
"14.130980	0.000795"
"14.130858	0.000306"
"14.130736	0.000165"
"14.130614	0.000165"
"14.130491	-0.000824"
"14.130369	-0.001833"
"14.130247	-0.001562"
"14.130124	-0.001223"
"14.130002	-0.001829"
"14.129880	-0.002378"
"14.129757	-0.002420"
"14.129635	-0.002596"
"14.129513	-0.003161"
"14.129390	-0.004081"
"14.129268	-0.004834"
"14.129146	-0.004731"
"14.129024	-0.004544"
"14.128901	-0.005241"
"14.128779	-0.005856"
"14.128657	-0.005275"
"14.128534	-0.003821"
"14.128412	-0.002064"
"14.128290	-0.000687"
"14.128167	-0.000413"
"14.128045	-0.000836"
"14.127923	-0.001242"
"14.127801	-0.001534"
"14.127678	-0.001266"
"14.127556	-0.000399"
"14.127434	-0.000176"
"14.127311	-0.000750"
"14.127189	-0.000859"
"14.127067	-0.000776"
"14.126944	-0.001680"
"14.126822	-0.002928"
"14.126700	-0.003403"
"14.126577	-0.003375"
"14.126455	-0.003135"
"14.126333	-0.002387"
"14.126211	-0.001348"
"14.126088	-0.000668"
"14.125966	-0.000768"
