"14.154251	0.001152"
"14.154129	0.000553"
"14.154006	0.000548"
"14.153884	0.001818"
"14.153762	0.002671"
"14.153639	0.001980"
"14.153517	0.000922"
"14.153395	0.000614"
"14.153272	0.001026"
"14.153150	0.001820"
"14.153028	0.001791"
"14.152906	-0.000205"
"14.152783	-0.002708"
"14.152661	-0.003272"
"14.152539	-0.002015"
"14.152416	-0.000722"
"14.152294	-0.000281"
"14.152172	-0.000536"
"14.152049	-0.000984"
"14.151927	-0.001295"
"14.151805	-0.001396"
"14.151682	-0.000866"
"14.151560	0.000294"
"14.151438	0.000724"
"14.151316	-0.000350"
"14.151193	-0.001915"
"14.151071	-0.003096"
"14.150949	-0.003730"
"14.150826	-0.003491"
"14.150704	-0.002602"
"14.150582	-0.001809"
"14.150459	-0.001355"
"14.150337	-0.001488"
"14.150215	-0.002150"
"14.150093	-0.002298"
"14.149970	-0.001536"
"14.149848	-0.000901"
"14.149726	-0.001048"
"14.149603	-0.001766"
"14.149481	-0.002367"
"14.149359	-0.002020"
"14.149236	-0.001319"
"14.149114	-0.001970"
"14.148992	-0.003857"
"14.148869	-0.005390"
"14.148747	-0.006000"
"14.148625	-0.005734"
"14.148503	-0.004655"
"14.148380	-0.003301"
"14.148258	-0.001665"
"14.148136	0.000457"
"14.148013	0.001466"
"14.147891	-0.000263"
"14.147769	-0.003393"
"14.147646	-0.005255"
"14.147524	-0.005014"
"14.147402	-0.003865"
"14.147279	-0.003240"
"14.147157	-0.003287"
"14.147035	-0.002984"
"14.146913	-0.001653"
"14.146790	0.000059"
"14.146668	0.000728"
"14.146546	-0.000154"
"14.146423	-0.001447"
"14.146301	-0.002238"
"14.146179	-0.003006"
"14.146056	-0.003580"
"14.145934	-0.003039"
"14.145812	-0.002260"
"14.145689	-0.002664"
"14.145567	-0.003376"
"14.145445	-0.003121"
"14.145323	-0.002570"
"14.145200	-0.002869"
"14.145078	-0.004077"
"14.144956	-0.005321"
"14.144833	-0.005479"
"14.144711	-0.004648"
"14.144589	-0.004046"
"14.144466	-0.003786"
"14.144344	-0.003152"
"14.144222	-0.002671"
"14.144100	-0.003043"
"14.143977	-0.003528"
"14.143855	-0.003467"
"14.143733	-0.003085"
"14.143610	-0.002195"
"14.143488	-0.000714"
"14.143366	0.000067"
"14.143243	-0.000658"
"14.143121	-0.001236"
"14.142999	-0.000010"
"14.142876	0.001867"
"14.142754	0.002456"
"14.142632	0.001992"
"14.142510	0.001533"
"14.142387	0.001129"
"14.142265	0.001054"
"14.142143	0.001964"
"14.142020	0.002783"
"14.141898	0.002052"
"14.141776	0.001025"
"14.141653	0.001348"
"14.141531	0.001593"
"14.141409	0.000443"
"14.141286	-0.000263"
"14.141164	0.000559"
"14.141042	0.000918"
"14.140920	-0.000077"
"14.140797	-0.000698"
"14.140675	-0.000010"
"14.140553	0.001238"
"14.140430	0.002189"
"14.140308	0.002087"
"14.140186	0.000951"
"14.140063	0.000154"
"14.139941	0.000293"
"14.139819	0.000236"
"14.139696	-0.000353"
"14.139574	-0.000465"
"14.139452	-0.000337"
"14.139330	-0.001460"
"14.139207	-0.003558"
"14.139085	-0.004443"
"14.138963	-0.003465"
"14.138840	-0.002364"
"14.138718	-0.002107"
"14.138596	-0.001905"
"14.138473	-0.001498"
"14.138351	-0.001265"
"14.138229	-0.000653"
"14.138107	0.000808"
"14.137984	0.002376"
"14.137862	0.002964"
"14.137740	0.001868"
"14.137617	-0.000230"
"14.137495	-0.000896"
"14.137373	0.000530"
"14.137250	0.001256"
"14.137128	0.000010"
"14.137006	-0.001028"
"14.136883	-0.001098"
"14.136761	-0.001566"
"14.136639	-0.002066"
"14.136517	-0.001542"
"14.136394	-0.000669"
"14.136272	0.000080"
"14.136150	0.001017"
"14.136027	0.001663"
"14.135905	0.001682"
"14.135783	0.001275"
"14.135660	0.000008"
"14.135538	-0.001563"
"14.135416	-0.001513"
"14.135293	-0.000311"
"14.135171	-0.000275"
"14.135049	-0.001071"
"14.134927	-0.001122"
"14.134804	-0.001054"
"14.134682	-0.001855"
"14.134560	-0.003302"
"14.134437	-0.005244"
"14.134315	-0.006748"
"14.134193	-0.006197"
"14.134070	-0.004145"
"14.133948	-0.002560"
"14.133826	-0.001873"
"14.133704	-0.001793"
"14.133581	-0.002378"
"14.133459	-0.002802"
"14.133337	-0.002265"
"14.133214	-0.001513"
"14.133092	-0.001284"
"14.132970	-0.001287"
"14.132847	-0.001639"
"14.132725	-0.002840"
"14.132603	-0.004211"
"14.132480	-0.004312"
"14.132358	-0.002980"
"14.132236	-0.001672"
"14.132114	-0.001474"
"14.131991	-0.002174"
"14.131869	-0.003310"
"14.131747	-0.004449"
"14.131624	-0.004875"
"14.131502	-0.004502"
"14.131380	-0.003951"
"14.131257	-0.003448"
"14.131135	-0.003419"
"14.131013	-0.004581"
